place_id,種別,名称,カテゴリ,住所,latitude,longitude,座標ステータス,座標情報源,営業日,営業時間,定休日,朝食向き,おやつ向き,昼食向き,夕食向き,休憩向き,体験・できること,推奨滞在時間_分,Google評価,口コミ件数,価格帯,電話番号,Googleマップ検索URL,情報源,情報取得日,確認ステータス
X021,美術・文化,根津八紘美術館,美術館,〒393-0015 長野県諏訪郡下諏訪町立町3528-8,,,要座標取得,,水・木・金・土・日,10:00-16:00,月・火,,,,,,絵画鑑賞,30-60,,,,,https://www.google.com/maps/search/?api=1&query=%E6%A0%B9%E6%B4%A5%E5%85%AB%E7%B4%98%E7%BE%8E%E8%A1%93%E9%A4%A8%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光マップ・公開地図情報,2026-08-23,要座標確認
X022,寺社,専女八幡,神社,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,参拝・地域の神社を見る,10-25,,,,,https://www.google.com/maps/search/?api=1&query=%E5%B0%82%E5%A5%B3%E5%85%AB%E5%B9%A1%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光イベントマップ,2026-08-23,要座標確認
X023,まち歩き・休憩,四ツ角湯むりひろば,広場・温泉街,長野県諏訪郡下諏訪町御田町,,,要座標取得,,,,,,,,,○,温泉街の雰囲気を楽しむ・休憩,10-30,,,,,https://www.google.com/maps/search/?api=1&query=%E5%9B%9B%E3%83%84%E8%A7%92%E6%B9%AF%E3%82%80%E3%82%8A%E3%81%B2%E3%82%8D%E3%81%B0%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光イベントマップ,2026-08-23,要座標確認
X024,交通・広場,下諏訪駅前ひろば,広場・交通,長野県諏訪郡下諏訪町5317,,,要座標取得,,,,,,,,,○,待ち合わせ・休憩・イベントを見る,10-40,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E9%A7%85%E5%89%8D%E3%81%B2%E3%82%8D%E3%81%B0%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光イベントマップ,2026-08-23,要座標確認
X025,公共・文化,下諏訪町立図書館,図書館,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,○,本を読む・休憩・地域情報を見る,30-90,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光マップ・下諏訪町,2026-08-23,要座標確認
X026,公園・運動,高木運動公園,公園・運動,長野県諏訪郡下諏訪町西高木,,,要座標取得,,毎日,24時間,,,,,,,○,散歩・遊ぶ・運動・休憩,20-90,,,,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E6%9C%A8%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,公開地図情報,2026-08-23,要座標確認
X027,公共・スポーツ,下諏訪町体育館,体育館,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,スポーツ・大会観戦・イベント,30-120,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%E4%BD%93%E8%82%B2%E9%A4%A8%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光マップ・下諏訪町,2026-08-23,要座標確認
X028,公共・スポーツ,下諏訪町総合運動場,運動場,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,スポーツ・大会観戦・散歩,30-120,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%E7%B7%8F%E5%90%88%E9%81%8B%E5%8B%95%E5%A0%B4%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光マップ・下諏訪町,2026-08-23,要座標確認
X029,史跡・まち歩き,大灯籠,史跡・ランドマーク,長野県諏訪郡下諏訪町大門,,,要座標取得,,,,,,,,,,大灯籠を見る・三角八丁を歩く,10-20,,,,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E7%81%AF%E7%B1%A0%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光イベントマップ,2026-08-23,要座標確認
X030,まち歩き,歴史のこみち,路地・まち歩き,長野県諏訪郡下諏訪町立町,,,要座標取得,,,,,,,,,,宿場町の路地を歩く,10-25,,,,,https://www.google.com/maps/search/?api=1&query=%E6%AD%B4%E5%8F%B2%E3%81%AE%E3%81%93%E3%81%BF%E3%81%A1%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,99分まち歩きマップ,2026-08-23,要座標確認
X031,文化・産業,旧矢崎商店,歴史建築・産業,長野県諏訪郡下諏訪町3156,,,要座標取得,,,,,,,,,,歴史建築を見る・イベント時に立ち寄る,15-40,,,,,https://www.google.com/maps/search/?api=1&query=%E6%97%A7%E7%9F%A2%E5%B4%8E%E5%95%86%E5%BA%97%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪町公式・イベントマップ,2026-08-23,要座標確認
X032,自然・レジャー,八島高原キャンプ場,キャンプ場,長野県諏訪郡下諏訪町10618,,,要座標取得,,,,,,,,,○,キャンプ・自然・休憩,60-240,,,,,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E5%B3%B6%E9%AB%98%E5%8E%9F%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%97%E5%A0%B4%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪町公式,2026-08-23,要座標確認
X033,駐車・拠点,友之町駐車場,駐車場・レンタサイクル,長野県諏訪郡下諏訪町友之町,,,要座標取得,,,,,,,,,,駐車・レンタサイクルの起点,5-20,,,,0266-27-0005,https://www.google.com/maps/search/?api=1&query=%E5%8F%8B%E4%B9%8B%E7%94%BA%E9%A7%90%E8%BB%8A%E5%A0%B4%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光マップ,2026-08-23,要座標確認
